epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1012,1.80735,3.87778,1.51597,0.00862,0.9,0.6115,0.29574,1.55144,3.30396,1.35576,0.00046412,0.00046412,0.00046412
2,45.9467,1.75652,2.67275,1.4101,0.96877,0.31481,0.63348,0.26018,1.71194,2.57381,1.48865,0.000893901,0.000893901,0.000893901
3,60.2482,1.69142,2.1774,1.4065,0.84365,0.90285,0.91328,0.46486,1.7319,1.66954,1.50093,0.00127652,0.00127652,0.00127652
4,74.1303,1.70477,2.02725,1.43156,0.91735,0.93217,0.95523,0.54089,1.60581,1.34508,1.38375,0.00121679,0.00121679,0.00121679
5,88.1858,1.66219,1.78635,1.35815,0.95319,0.98333,0.96595,0.50252,1.59878,1.06468,1.39459,0.00114606,0.00114606,0.00114606
6,102.198,1.59257,1.60116,1.34595,0.93409,0.98129,0.97821,0.52144,1.52869,0.90766,1.37521,0.00107532,0.00107532,0.00107532
7,116.243,1.55286,1.51513,1.30765,0.95098,0.98333,0.98314,0.50174,1.55258,0.85731,1.37132,0.00100459,0.00100459,0.00100459
8,129.983,1.59933,1.39308,1.30507,0.92886,0.98245,0.98376,0.55803,1.55691,0.8629,1.37579,0.000933851,0.000933851,0.000933851
9,144.043,1.55006,1.32384,1.30836,0.8785,0.96667,0.96799,0.56091,1.51717,0.85963,1.36044,0.000863116,0.000863116,0.000863116
10,158.049,1.52444,1.24599,1.29376,0.89188,0.96667,0.95862,0.55582,1.50457,0.77816,1.33046,0.00079238,0.00079238,0.00079238
11,197.918,1.48788,1.21854,1.3256,0.9554,0.98136,0.98521,0.53962,1.51576,0.75189,1.32135,0.000721645,0.000721645,0.000721645
12,211.554,1.4859,1.16623,1.32144,0.94302,0.97967,0.9823,0.548,1.5095,0.80744,1.31543,0.000650909,0.000650909,0.000650909
13,225.393,1.45163,1.11169,1.32062,0.90322,0.96667,0.95674,0.51425,1.54293,0.77505,1.36365,0.000580174,0.000580174,0.000580174
14,237.268,1.46103,1.07847,1.31873,0.93555,0.98333,0.97919,0.53613,1.53906,0.75464,1.29798,0.000509438,0.000509438,0.000509438
15,242.885,1.40802,1.03926,1.27476,0.92869,0.96667,0.95096,0.52476,1.50748,0.7332,1.32179,0.000438703,0.000438703,0.000438703
16,248.64,1.4112,0.99328,1.28775,0.885,0.96667,0.94518,0.51933,1.47542,0.75769,1.3016,0.000367967,0.000367967,0.000367967
17,254.275,1.40936,0.96819,1.27279,0.91888,0.96667,0.95192,0.53404,1.45885,0.72497,1.29591,0.000297232,0.000297232,0.000297232
18,260.08,1.39802,0.94297,1.25988,0.92713,0.97637,0.97543,0.54433,1.49136,0.73288,1.30605,0.000226497,0.000226497,0.000226497
19,265.824,1.37279,0.89937,1.24132,0.94148,0.9775,0.9823,0.54143,1.47933,0.68626,1.30476,0.000155761,0.000155761,0.000155761
20,271.545,1.3379,0.89367,1.25436,0.92703,0.96051,0.95192,0.54149,1.48431,0.70203,1.30514,8.50255e-05,8.50255e-05,8.50255e-05
